x,f(x)
0,5782.61
0.5,1361.31
1,1852.54
1.5,4073.02
2,2972.96
2.5,4704.74
3,4282.77
3.5,5068.72
4,9653.45
4.5,8.29697
5,9009.4
5.5,9177.06
6,9387.91
6.5,6767.92
7,3489.64
7.5,8345.12
8,2382.26
8.5,1461.77
9,3279.62
9.5,8919.63
10,8347.48
10.5,4592.83
11,1456.81
11.5,3041.85
12,547.482
12.5,7413.88
13,4194.08
13.5,9429.84
14,7038.59
14.5,1952.91
15,7805.15
15.5,458.968
16,8714.88
16.5,6581.18
17,8225.44
17.5,8273.47
18,2866.86
18.5,359.195
19,9627.86
19.5,1568.16
20,2174.62
20.5,4522.78
21,3922.12
21.5,3335.14
22,2260
22.5,4978.01
23,2792.44
23.5,4575.11
24,6889.04
24.5,4234.3
25,1369.94
25.5,8059.07
26,9098.07
26.5,8077.63
27,3159.72
27.5,2920.97
28,649.805
28.5,9505.23
29,8384.61
29.5,9256.42
30,9184.15
30.5,3480.85
31,2474.11
31.5,8904.55
32,4353.87
32.5,6619.78
33,3055.33
33.5,3420.33
34,3518.38
34.5,2085.46
35,4527.62
35.5,5791.11
36,8676.05
36.5,7154.33
37,5621.69
37.5,7363.69
38,1111.79
38.5,8843.98
39,5515.1
39.5,7325.82
40,1860.24
40.5,6755.32
41,5528.02
41.5,4382.1
42,1719.22
42.5,8391.01
43,5872.92
43.5,2414.34
44,5177.76
44.5,1442.12
45,6058.67
45.5,5195.93
46,6752.22
46.5,5362.05
47,7645.39
47.5,7273.98
48,542.208
48.5,8333.28
49,6031.88
49.5,7618.55
50,8018.63
50.5,1111.76
51,1761.87
51.5,5672.06
52,4821.11
52.5,4460.73
53,1653.79
53.5,766.002
54,1387.89
54.5,6407.05
55,4206.79
55.5,2514.49
56,3273.77
56.5,6251.88
57,8042.02
57.5,6119.9
58,9566.98
58.5,6020.26
59,3531.54
59.5,1005.35
60,844.516
60.5,9002.24
61,8525.33
61.5,5215.6
62,5263.86
62.5,5726.11
