x,f(x)
95.7978,2.61949e+006
7.14711,1012.67
94.6092,2.52298e+006
96.4646,2.6747e+006
49.7419,364463
70.8788,1.05847e+006
90.6947,2.22194e+006
0.0212477,-8.91588
50.889,390375
92.7345,2.37563e+006
10.6089,3390.38
86.0525,1.89719e+006
95.6182,2.60475e+006
1.58273,4.21515
94.2885,2.49735e+006
43.0917,236500
61.3084,684044
51.14,396203
20.7696,26089.7
79.8616,1.5156e+006
85.8854,1.88613e+006
33.7226,112901
95.753,2.61581e+006
10.5726,3355.15
63.0424,743952
32.3275,99383.5
29.7045,76975.3
74.7404,1.24165e+006
85.2647,1.84543e+006
48.7301,342583
91.4217,2.27593e+006
90.0405,2.17409e+006
59.6696,630462
70.4786,1.04059e+006
51.7069,409582
73.6985,1.1903e+006
48.4648,336994
95.7581,2.61623e+006
25.6166,49210.5
85.9756,1.89209e+006
11.5568,4400.62
60.3338,651827
3.92777,157.642
60.4863,656800
67.4419,911426
44.9913,269339
87.1012,1.96758e+006
40.2843,193030
9.25977,2238.44
95.7836,2.61833e+006
99.5693,2.94197e+006
96.6183,2.68753e+006
50.394,379049
89.4633,2.13245e+006
17.087,14441.8
77.2044,1.36891e+006
73.1186,1.16234e+006
82.4536,1.66843e+006
48.399,335618
32.6355,102269
94.5291,2.51657e+006
13.0639,6390.62
99.1998,2.90927e+006
20.1976,23974.5
49.6109,361581
9.68336,2566.15
60.1459,645736
78.5748,1.44332e+006
10.0535,2877.47
28.7405,69674
29.1848,72979.2
14.1023,8063.45
43.2668,239409
50.9879,392665
14.5224,8815.59
58.1801,584261
98.1613,2.81865e+006
56.3232,529896
44.883,267389
22.4446,32993.4
56.3401,530374
18.3912,18049.8
79.2227,1.47941e+006
6.2874,682.734
41.2254,206949
85.2658,1.8455e+006
22.098,31475.6
98.0363,2.80788e+006
54.3854,476871
29.8467,78093.6
50.2525,375850
91.8765,2.31015e+006
14.5305,8830.62
38.0913,163046
73.9493,1.20253e+006
91.0799,2.25044e+006
18.8775,19535.4
61.5977,693804
49.6527,362499
64.3793,792457
90.0451,2.17442e+006
87.5948,2.0013e+006
59.5392,626325
11.2231,4024.85
94.6606,2.5271e+006
22.3859,32733.1
97.4146,2.75468e+006
99.5347,2.93889e+006
57.3964,560882
93.0368,2.39899e+006
37.9635,161403
90.8251,2.23156e+006
47.0614,308441
4.84727,305.071
29.8817,78370.4
15.657,11078
77.8086,1.40139e+006
69.2035,984960
2.82022,53.6664
37.7473,158646
36.3119,141137
87.4876,1.99394e+006
79.6839,1.50547e+006
51.3341,400751
42.5268,227277
20.4338,24833.3
47.5389,317967
47.8574,324430
81.6716,1.62129e+006
9.73604,2609.02
19.6581,22086.8
34.1591,117369
12.4681,5544.59
7.97623,1418.01
40.994,203466
57.2082,555362
30.8154,86001.2
86.3396,1.91629e+006
98.0114,2.80573e+006
13.563,7162.34
96.2743,2.65886e+006
48.2734,333001
54.4052,477396
28.3791,67061.4
26.3847,53807.5
63.104,746140
63.7152,768106
19.1147,20288.7
49.2443,353591
64.5431,798540
63.8969,774720
38.2787,165478
92.026,2.32146e+006
31.7711,94308.4
74.3155,1.22053e+006
22.0807,31401
85.5231,1.8623e+006
31.2627,89826.1
93.3971,2.42703e+006
36.5524,143976
86.7233,1.94201e+006
47.7786,322824
41.6621,213629
31.6045,92823.3
4.92536,320.639
74.1731,1.21351e+006
64.6428,802258
24.2865,41883.3
15.6036,10963.7
30.433,82818.4
81.7716,1.62726e+006
46.23,292312
96.993,2.71899e+006
91.7617,2.30148e+006
90.7786,2.22813e+006
89.4622,2.13237e+006
79.7581,1.5097e+006
45.172,272613
82.1059,1.64736e+006
43.8857,249880
21.0391,27128.5
97.0249,2.72168e+006
96.9224,2.71305e+006
56.0941,523431
94.6111,2.52313e+006
37.8168,159529
85.7707,1.87856e+006
45.4344,277413
80.9986,1.58143e+006
47.8861,325016
65.3553,829168
81.8654,1.63289e+006
36.5012,143368
35.2233,128753
59.3638,620787
90.0088,2.17179e+006
19.4771,21476.5
55.0045,493406
13.6056,7230.89
78.6423,1.44705e+006
2.69755,46.1249
35.5234,132091
20.0345,23393
97.4719,2.75956e+006
65.6163,839176
3.79572,141.428
66.7575,883873
41.2157,206802
20.1589,23835.4
26.2111,52744.5
31.3054,90196.9
4.27798,206.386
29.5067,75437.3
76.6728,1.34075e+006
21.1081,27398.8
21.4676,28835.6
54.6967,485140
51.5589,406061
80.9773,1.58018e+006
6.64113,808.07
79.9901,1.52294e+006
65.4911,834364
98.6983,2.86526e+006
15.1571,10038.6
82.5853,1.67646e+006
26.4056,53936.4
64.1272,783152
66.5231,874565
21.6705,29668.7
70.0324,1.02089e+006
79.2849,1.48292e+006
55.165,497756
94.756,2.53477e+006
1.1187,-2.82806
