x,f(x)
0,-9
0.5,-7.125
1,-4
1.5,2.625
2,15
2.5,35.375
3,66
3.5,109.125
4,167
4.5,241.875
5,336
5.5,451.625
6,591
6.5,756.375
7,950
7.5,1174.12
8,1431
8.5,1722.88
9,2052
9.5,2420.62
10,2831
10.5,3285.38
11,3786
11.5,4335.12
12,4935
12.5,5587.88
13,6296
13.5,7061.62
14,7887
14.5,8774.38
15,9726
15.5,10744.1
16,11831
16.5,12988.9
17,14220
17.5,15526.6
18,16911
18.5,18375.4
19,19922
19.5,21553.1
20,23271
20.5,25077.9
21,26976
21.5,28967.6
22,31055
22.5,33240.4
23,35526
23.5,37914.1
24,40407
24.5,43006.9
25,45716
25.5,48536.6
26,51471
26.5,54521.4
27,57690
27.5,60979.1
28,64391
28.5,67927.9
29,71592
29.5,75385.6
30,79311
30.5,83370.4
31,87566
31.5,91900.1
32,96375
32.5,100993
33,105756
33.5,110667
34,115727
34.5,120939
35,126306
35.5,131829
36,137511
36.5,143354
37,149360
37.5,155532
38,161871
38.5,168380
39,175062
39.5,181918
40,188951
40.5,196163
41,203556
41.5,211133
42,218895
42.5,226845
43,234986
43.5,243319
44,251847
44.5,260572
45,269496
45.5,278622
46,287951
46.5,297486
47,307230
47.5,317184
48,327351
48.5,337733
49,348332
49.5,359151
50,370191
50.5,381455
51,392946
51.5,404665
52,416615
52.5,428798
53,441216
53.5,453872
54,466767
54.5,479904
55,493286
55.5,506914
56,520791
56.5,534919
57,549300
57.5,563937
58,578831
58.5,593985
59,609402
59.5,625083
60,641031
60.5,657248
61,673736
61.5,690498
62,707535
62.5,724850
63,742446
63.5,760324
64,778487
64.5,796937
65,815676
65.5,834707
66,854031
66.5,873651
67,893570
67.5,913789
68,934311
68.5,955138
69,976272
69.5,997716
70,1.01947e+006
70.5,1.04154e+006
71,1.06393e+006
71.5,1.08663e+006
72,1.10966e+006
72.5,1.133e+006
73,1.15668e+006
73.5,1.18068e+006
74,1.20501e+006
74.5,1.22967e+006
75,1.25467e+006
75.5,1.28e+006
76,1.30567e+006
76.5,1.33168e+006
77,1.35804e+006
77.5,1.38474e+006
78,1.41179e+006
78.5,1.43919e+006
79,1.46694e+006
79.5,1.49505e+006
80,1.52351e+006
80.5,1.55233e+006
81,1.58152e+006
81.5,1.61106e+006
82,1.64098e+006
82.5,1.67126e+006
83,1.70191e+006
83.5,1.73293e+006
84,1.76433e+006
84.5,1.7961e+006
85,1.82826e+006
85.5,1.86079e+006
86,1.89371e+006
86.5,1.92702e+006
87,1.96071e+006
87.5,1.99479e+006
88,2.02927e+006
88.5,2.06414e+006
89,2.09941e+006
89.5,2.13508e+006
90,2.17115e+006
90.5,2.20763e+006
91,2.24451e+006
91.5,2.2818e+006
92,2.3195e+006
92.5,2.35761e+006
93,2.39614e+006
93.5,2.43508e+006
94,2.47445e+006
94.5,2.51423e+006
95,2.55445e+006
95.5,2.59508e+006
96,2.63615e+006
96.5,2.67765e+006
97,2.71958e+006
97.5,2.76195e+006
98,2.80475e+006
98.5,2.848e+006
99,2.89168e+006
99.5,2.93581e+006
100,2.98039e+006
100.5,3.02542e+006
101,3.0709e+006
101.5,3.11683e+006
102,3.16322e+006
102.5,3.21006e+006
103,3.25737e+006
103.5,3.30513e+006
104,3.35337e+006
104.5,3.40207e+006
105,3.45124e+006
105.5,3.50088e+006
106,3.55099e+006
106.5,3.60158e+006
107,3.65265e+006
107.5,3.7042e+006
108,3.75623e+006
108.5,3.80875e+006
109,3.86175e+006
109.5,3.91525e+006
110,3.96923e+006
110.5,4.02371e+006
111,4.07869e+006
111.5,4.13416e+006
112,4.19014e+006
112.5,4.24661e+006
113,4.3036e+006
113.5,4.36109e+006
114,4.41909e+006
114.5,4.4776e+006
115,4.53663e+006
115.5,4.59617e+006
116,4.65623e+006
116.5,4.71681e+006
117,4.77792e+006
117.5,4.83955e+006
118,4.90171e+006
118.5,4.9644e+006
119,5.02762e+006
119.5,5.09138e+006
120,5.15567e+006
120.5,5.2205e+006
121,5.28588e+006
121.5,5.35179e+006
122,5.41826e+006
122.5,5.48527e+006
123,5.55283e+006
123.5,5.62094e+006
124,5.68961e+006
124.5,5.75883e+006
125,5.82862e+006
125.5,5.89896e+006
126,5.96987e+006
126.5,6.04135e+006
127,6.11339e+006
127.5,6.186e+006
128,6.25919e+006
128.5,6.33295e+006
129,6.40729e+006
129.5,6.48221e+006
130,6.55771e+006
130.5,6.6338e+006
131,6.71047e+006
131.5,6.78773e+006
132,6.86558e+006
132.5,6.94402e+006
133,7.02306e+006
133.5,7.10269e+006
134,7.18293e+006
134.5,7.26376e+006
135,7.34521e+006
135.5,7.42725e+006
136,7.50991e+006
136.5,7.59318e+006
137,7.67706e+006
137.5,7.76156e+006
138,7.84667e+006
138.5,7.93241e+006
139,8.01876e+006
139.5,8.10574e+006
140,8.19335e+006
140.5,8.28159e+006
141,8.37046e+006
141.5,8.45996e+006
