x,f(x)
7805.56,7113.12
4020.86,9656.75
5928.92,646.202
5647.07,8925.22
5782.61,1361.31
1852.54,4073.02
2972.96,4704.74
4282.77,5068.72
9653.45,8.29697
9009.4,9177.06
9387.91,6767.92
3489.64,8345.12
2382.26,1461.77
3279.62,8919.63
8347.48,4592.83
1456.81,3041.85
547.482,7413.88
4194.08,9429.84
7038.59,1952.91
7805.15,458.968
8714.88,6581.18
8225.44,8273.47
2866.86,359.195
9627.86,1568.16
2174.62,4522.78
3922.12,3335.14
2260,4978.01
2792.44,4575.11
6889.04,4234.3
1369.94,8059.07
9098.07,8077.63
3159.72,2920.97
649.805,9505.23
8384.61,9256.42
9184.15,3480.85
2474.11,8904.55
4353.87,6619.78
3055.33,3420.33
3518.38,2085.46
4527.62,5791.11
8676.05,7154.33
5621.69,7363.69
1111.79,8843.98
5515.1,7325.82
1860.24,6755.32
5528.02,4382.1
1719.22,8391.01
5872.92,2414.34
5177.76,1442.12
6058.67,5195.93
6752.22,5362.05
7645.39,7273.98
542.208,8333.28
6031.88,7618.55
8018.63,1111.76
1761.87,5672.06
4821.11,4460.73
1653.79,766.002
1387.89,6407.05
4206.79,2514.49
3273.77,6251.88
8042.02,6119.9
9566.98,6020.26
3531.54,1005.35
844.516,9002.24
8525.33,5215.6
5263.86,5726.11
2205.33,5167.78
1467.66,1498.58
8582.67,3630.86
2290.17,4711.38
438.046,1678.15
1191.87,8258.82
8008.34,3215.38
5092.15,8850.51
5445.63,3591.94
812.139,8368.49
3279.4,5514.5
4472.2,3526.91
8115.8,1983.9
9842.38,9005.4
5424.01,2644.5
814.501,5161.14
7798.94,8563.27
8631.38,7038.6
722.619,9948.06
5511.85,9356
7142.09,1174.79
8540.77,5955.93
2806.77,5508.22
6903.9,7149.48
7929.99,7394.2
3086.41,5401
3322.95,8181
5731.41,9666.21
7347.86,9810.93
6524.88,4311.42
2043.78,9666.92
7173.23,3941.92
3404.06,7028.56
2696.62,6026.95
3971.14,4223.41
8757.15,8516.27
3604.59,7270.12
9819.79,2409.08
4748.63,7883.9
8201.12,7838.55
3762.73,6328.5
4525.04,1574.3
1422.93,4391.43
8720.84,1749.95
9178.35,9533.73
3104.18,5933.51
8189.44,4117.17
983.065,2053.74
2281.19,3139.52
7363.76,6196.94
6210.48,1193.92
4491.93,3080.57
8411.74,2147.19
47.0769,4721.86
9003.04,1826.74
7662.88,8150.07
3860.33,1126.46
5693.57,2299.68
8991.66,1017.88
9437.66,4319.02
704.493,3336.07
3266.4,2347.98
3041.59,9872.55
5140.16,9077.34
4312.44,3078.72
5024.45,4051.28
1809.6,2849.06
1799.25,3976.68
2131.79,366.278
2207.4,1885.44
8956.43,8456.9
7275.8,5721.28
5253.75,2487.98
5830.5,3318.53
5431.75,191.702
740.958,2912.2
9146.92,9351.77
2425.4,6474.99
2987.69,7336.42
7351.93,4946.36
117.813,4838.1
2402.25,4635.5
3979.99,5855.85
4025.44,4041.18
9752.96,7808.84
4244.94,3719.47
2645.89,9157.34
6371.11,430.302
7152.72,3262.16
4774.68,1022.83
1538.23,7230.92
1670.51,1622.73
3224.78,5307.65
2172.82,9765.71
6566.38,1458.96
7560.51,1305.17
1672.68,1060.38
1342.29,190.432
7653.15,7842.65
7780.51,1452.42
406.805,9094.56
157.655,2429.5
6715.23,3112.22
9767.55,3215.37
711.814,3895.65
9133.89,1318.49
4239.78,4481.29
8614.55,3795.65
1694.89,7726.8
4540.5,8349.12
726.146,277.959
6050.16,4538.15
2331.31,9004.53
4840.89,4853.08
7613.26,8191.02
7495.19,4297.43
4116.44,9114.39
7677.17,5987.23
6765.85,5227.3
4041.56,3199.82
6631.19,671.961
1505.06,9698.73
4683.74,4967.13
8410.7,4770.26
2136.2,7727.32
8998.79,6321.43
3835.83,8455.42
7733.26,7436.13
6595.95,6458.69
1921.38,1573.95
6361.66,3052.91
723.907,1093
8093.28,6446.82
9510.54,8010.47
3303.35,9673.79
4778.57,307.898
6569.75,4694.14
666.069,3048.05
259.112,5835.26
3162.31,4993.46
